Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1983]=31.470475
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1984]=31.977546
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1985]=32.484616
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1986]=32.991687
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1987]=33.498757
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1988]=34.005828
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1989]=34.512898
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1990]=35.019969
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1991]=35.072322
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1992]=35.124675
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1993]=35.177028
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1994]=35.229381
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1995]=35.281735
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1996]=35.334088
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1997]=35.386441
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1998]=35.438794
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1999]=35.491147
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2000]=35.5435
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2001]=35.7143
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2002]=35.8845
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2003]=36.0543
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2004]=36.2232
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2005]=36.3917
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2006]=36.4361
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2007]=36.4792
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2008]=36.520033
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2009]=36.560867
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2010]=36.6017
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2011]=36.61719
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2012]=36.63268
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2013]=36.64817
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2014]=36.66366
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2015]=36.67915
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2016]=36.69464
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2017]=36.71013
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2018]=36.72562
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2019]=36.74111
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2020]=36.7566
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2021]=36.62955
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2022]=36.5025
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2023]=36.37545
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2024]=36.2484
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2025]=36.12135
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2026]=35.9943
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2027]=35.86725
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2028]=35.7402
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2029]=35.61315
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2030]=35.4861
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2031]=35.13889
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2032]=34.79168
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2033]=34.44447
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2034]=34.09726
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2035]=33.75005
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2036]=33.40284
