Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1771 T=-0.318426 degC Dtdt=0.00866514 DHdt_no_ice=0.0261888 cm/yr slr_no_ice=0.176205 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1772 T=-0.308588 degC dTdt=0.00959514 dHdt=0.00977479 cm/yr slr=0.255296 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1772 T=-0.308588 degC Dtdt=0.00959514 DHdt_no_ice=0.0293008 cm/yr slr_no_ice=0.205506 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1773 T=-0.299235 degC dTdt=0.00872222 dHdt=0.0192893 cm/yr slr=0.274585 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1773 T=-0.299235 degC Dtdt=0.00872222 DHdt_no_ice=0.0278667 cm/yr slr_no_ice=0.233373 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1774 T=-0.291143 degC dTdt=0.00745623 dHdt=0.0300243 cm/yr slr=0.304609 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1774 T=-0.291143 degC Dtdt=0.00745623 DHdt_no_ice=0.0253491 cm/yr slr_no_ice=0.258722 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1775 T=-0.284323 degC dTdt=0.00637145 dHdt=0.039159 cm/yr slr=0.343768 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1775 T=-0.284323 degC Dtdt=0.00637145 DHdt_no_ice=0.0231828 cm/yr slr_no_ice=0.281905 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1776 T=-0.2784 degC dTdt=0.00561268 dHdt=0.0461937 cm/yr slr=0.389962 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1776 T=-0.2784 degC Dtdt=0.00561268 DHdt_no_ice=0.0217597 cm/yr slr_no_ice=0.303664 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1777 T=-0.273098 degC dTdt=0.00507617 dHdt=0.0517921 cm/yr slr=0.441754 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1777 T=-0.273098 degC Dtdt=0.00507617 DHdt_no_ice=0.0208426 cm/yr slr_no_ice=0.324507 cm
